GeneID	TranscriptID	Sample.00h	Sample.01h	Sample.02h	Sample.03h	Sample.04h	Sample.05h	Sample.06h	Sample.08h	Sample.10h	Sample.12h	Sample.14h	Sample.16h
FBgn0028482	FBtr0077425	0.411	0.176	0.305	0.081	0.063	0.143	0.139	0.03	0.137	0.203	0.812	1.943
FBgn0031598	FBtr0077462	43.409	47.685	46.208	25.175	22.153	26.091	26.514	27.535	23.444	21.237	16.363	18.036
FBgn0026058	FBtr0074461	0.038	0.019	0.093	0.086	0.051	0.12	0.068	0.136	0.433	0.488	0.718	0.815
FBgn0000629	FBtr0076279	15.015	11.608	2.489	18.588	17.649	19.15	16.349	15.046	9.504	11.734	6.273	3.046
FBgn0036112	FBtr0076194	33.365	8.161	16.748	1.621	2.039	3.076	3.946	2.794	1.802	4.387	19.514	22.327
FBgn0036462	FBtr0075672	104.733	113.92	122.81	94.122	87.301	70.216	65.239	67.701	73.066	75.382	79.146	81.56
FBgn0036882	FBtr0074976	0.019	0.071	0.11	2.324	2.768	2.505	2.18	1.174	0.807	1.648	0.686	0.468
FBgn0035708	FBtr0076981	0.128	0.029	0.108	0	0	0.232	0.187	0.077	0.492	0.281	0.801	0.632
FBgn0087035	FBtr0075559	24.246	25.447	22.19	37.644	39.124	34.967	37.054	54.284	29.595	40.903	21.809	19.53
FBgn0040814	FBtr0075837	0	0	0	0.295	0.063	0.057	0.125	0.069	0.059	0	0.042	0
FBgn0030795	FBtr0074335	0.142	0.146	0.186	0.929	0.834	0.403	0.646	0.467	0.723	0.882	0.869	1.609
FBgn0053056	FBtr0078312	6.4	2.399	0.262	0.227	0.256	0.344	0.861	0.649	3.296	4.713	12.775	15.327
FBgn0086680	FBtr0076944	0.361	0.085	0.205	1.115	1.288	2.069	3.595	9.147	13.048	12.807	7.512	5.243
FBgn0030719	FBtr0074147	163.242	165.511	203.833	98.938	118.204	95.65	89.301	98.088	104.969	110.631	112.607	113.148
FBgn0036505	FBtr0075599	25.415	25.562	6.756	10.264	11.128	16.709	18.857	19.119	19.164	22.503	19.177	19.873
FBgn0052590	FBtr0073988	37.722	41.096	50.61	32.704	26.755	18.144	13.005	14.655	26.313	24.193	26.234	22.436
FBgn0030558	FBtr0073908	0	0.044	0.089	0.199	0.161	0.123	0.206	0.176	0.08	0.181	0.074	0.08
FBgn0026418	FBtr0075772	2.109	1.21	1.118	0.438	0.083	1.057	0.112	0.694	0.114	1.152	2.231	11.75
FBgn0021967	FBtr0077520	104.96	90.875	114.158	101.1	104.076	83.005	62.159	50.179	54.837	71.108	110.291	142.543
FBgn0026376	FBtr0075794	2.102	0.877	6.888	27.655	29.829	26.304	26.315	19.822	14.914	12.526	8.848	8.965
FBgn0263603	FBtr0075493	0.756	0.359	1.419	15.507	15.909	12.854	14.117	12.302	8.838	11.208	7.39	5.32
FBgn0036382	FBtr0075754	3.351	0.909	2.828	0.665	0.878	0.837	2.558	1.102	2.354	2.174	34.893	109.297
FBgn0036327	FBtr0075900	0	0	0	0.098	0	0	0.041	0.059	0.02	0	0	0.021
FBgn0011016	FBtr0075453	281.822	264.211	114.567	161.438	169.867	260.396	365.384	494.346	708.167	749.614	733.101	840.709
FBgn0031012	FBtr0074683	0.436	0.054	0.146	0.144	0.398	0.128	0.274	0.137	0.321	0.237	0.864	1.64
FBgn0031111	FBtr0077326	0	0	0	0.05	0	0	0	0	0	0	0.017	0
FBgn0036285	FBtr0075980	0	0	0	0	0.079	0.462	0	1.944	0.54	0.722	1.379	0.542
FBgn0004959	FBtr0074603	1.205	0.362	3.04	39.466	50.475	26.805	14.355	3.081	0.521	0.475	0.896	1.131
FBgn0035941	FBtr0076512	0.274	0.231	0.578	0.433	0.412	0.585	0.667	0.677	1.877	2.271	2.833	7.27
FBgn0035708	FBtr0076978	0.239	0.063	0.203	0.779	1.378	2.241	5.135	9.846	8.767	6.344	2.478	2.61
FBgn0260938	FBtr0074167	0.139	0.004	0.083	2.316	1.423	3.857	2.357	3.426	6.948	5.422	0.909	0.148
FBgn0040812	FBtr0075802	0.083	0.083	0.081	0.195	0.078	0.078	0	0	0	0.092	0	0
FBgn0029118	FBtr0077134	3.209	1.324	3.155	7.507	8.393	8.95	9.7	11.957	6.732	5.396	6.907	6.75
FBgn0031022	FBtr0074783	27.87	24.404	12.158	11.025	10.418	9.54	9.91	10.461	8.158	6.494	4.544	4.562
FBgn0021800	FBtr0077498	13.087	16.272	7.035	2.022	1.998	1.338	1.239	0.763	1.95	3.757	3.008	2.004
